SL.No,date,id,url,tweet content,user,replycount,retweetcount,source,likecount
21,2023-04-04 17:31:00+00:00,1643310000000000000,https://twitter.com/rafadelcastillo/status/1643305177884024858,🐍 Cómo hacer un traductor con #Python https://t.co/TTpu30u7aB #DAW,rafadelcastillo,0,0,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",0
22,2023-04-04 17:30:18+00:00,1643310000000000000,https://twitter.com/realpython/status/1643305000959893520,"🐍📰 How to Flush the Output of the Python Print Function

In this tutorial you'll explore output stream buffering in Python using code examples. You'll also learn the differences between block-buffered and line-buffered.

#python https://t.co/ojSUbkpFzB",realpython,0,2,"<a href=""https://socialbee.com/"" rel=""nofollow"">SocialBee</a>",1
23,2023-04-04 17:30:07+00:00,1643300000000000000,https://twitter.com/first_issues/status/1643304955900731392,Add Type-Levels to the Includes https://t.co/C6xCYPjUIf #github #C #Rust #TypeScript #JavaScript #C++ #CSS #Scheme #Python,first_issues,0,0,"<a href=""https://github.com/arshadkazmi42/first-issues"" rel=""nofollow"">oss-first-issues</a>",0
24,2023-04-04 17:30:05+00:00,1643300000000000000,https://twitter.com/TopFiveTwitch/status/1643304947415408658,"Top 5 category on twitch right now : 
Just Chatting 🔄 
League of Legends 🔄 
Grand Theft Auto V ⤴️ 
VALORANT ⤵️ 
Fortnite 🆕 
🐹🤖🧨 
 #twitch #gaming #twitchstreamer #livestream #python #bot",TopFiveTwitch,0,0,"<a href=""http://localhost.com"" rel=""nofollow"">PythonTwitch</a>",0
25,2023-04-04 17:30:02+00:00,1643300000000000000,https://twitter.com/echojobs_io/status/1643304934916382739,"✨ Mobileye, an Intel Company is hiring Senior Test Engineer 

🌇 Haifa, Israel, Israel 
💪 #python #cpp #cplusplus #perl #r 

#tech #softwareengineer #jobs 
https://t.co/puNviTK8Be",echojobs_io,0,0,"<a href=""https://echojobs.io/"" rel=""nofollow"">echojobs</a>",0
26,2023-04-04 17:30:01+00:00,1643300000000000000,https://twitter.com/echojobs_io/status/1643304933343518736,"✋ Mobileye, an Intel Company is hiring Experienced C++ Engineer for Algorithms Group 

🌇 Jerusalem, Israel, Israel 
💪 #python #git #cpp #cplusplus #r 

#tech #softwareengineer #jobs 
https://t.co/fOZU53rfZw",echojobs_io,0,0,"<a href=""https://echojobs.io/"" rel=""nofollow"">echojobs</a>",0
27,2023-04-04 17:30:00+00:00,1643300000000000000,https://twitter.com/echojobs_io/status/1643304928968859665,"✋  Cloudflare  is hiring Software Engineer  

🌇 Lisbon, Portugal, Portugal 
💪 #Infrastructure #python #cassandra #docker #kubernetes #go 

#tech #softwareengineer #jobs 
https://t.co/10sOS3ukO1",echojobs_io,0,0,"<a href=""https://echojobs.io/"" rel=""nofollow"">echojobs</a>",0
28,2023-04-04 17:29:33+00:00,1643300000000000000,https://twitter.com/all_emptyspaces/status/1643304812770127872,"anaconda OR  miniconda OR micromamba .....?//
casual choices; data scientists make

#dATAviz #DataScience #Python #pythonprogramming #environment #scientificomputing #NumPy #Pandas #Matplotlib #Scikitlearn #packages #anaconda #github #DataScientist #dataengineering #datascijobs",all_emptyspaces,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0
29,2023-04-04 17:29:06+00:00,1643300000000000000,https://twitter.com/first_issues/status/1643304703068078081,Full Text Search Inside: Excess requests to individual book metadata https://t.co/EaJAM0U9h8 #github #Python #HTML #JavaScript #Less #Vue #Shell #CSS #Makefile #Dockerfile,first_issues,0,0,"<a href=""https://github.com/arshadkazmi42/first-issues"" rel=""nofollow"">oss-first-issues</a>",0
30,2023-04-04 17:29:00+00:00,1643300000000000000,https://twitter.com/VeilleCyber3/status/1643304674173362176,"Sex, #love and #companionship ... with #AI? Why human-machine #relationships could go mainstream 
https://t.co/BTmH09PXM0

#cryptocurrencies #MachineLearning #AI #Python #DeepLearning #100DaysOfCode #fintech #nocode #bitcoin  #cybersecurity #cybersecurite #inSurTech #ChatGPT https://t.co/AVgJTA5IX7",VeilleCyber3,2,0,"<a href=""https://www.semrush.com/"" rel=""nofollow"">Semrush Social Media Tool</a>",3
31,2023-04-04 17:28:30+00:00,1643300000000000000,https://twitter.com/flobrth/status/1643304551137566726,@PythonPr @SaveToNotion #Tweet #Python,flobrth,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
32,2023-04-04 17:26:22+00:00,1643300000000000000,https://twitter.com/pgoodgame/status/1643304014950326300,There have been 3 movement(s) in the last  58 Minuites in the nestbox. Nest building has resumed. #bluetit #nestbox #nature #gatwick #RaspberryPi #python #opencv #picamera2 #Arducam #STARVIS https://t.co/ZdnXdzvGAY,pgoodgame,0,0,"<a href=""http://www.graneye-t.co.uk"" rel=""nofollow"">Pi Twython video</a>",0
33,2023-04-04 17:26:00+00:00,1643300000000000000,https://twitter.com/cct_datascience/status/1643303919597277184,"🚨JOB ALERT🚨
We're hiring a data scientist to join our team!  We support researchers at @uarizona through collaboration and developing and delivering data science training.  

Apply: https://t.co/GkFq0B6RZ5

Please ask if you have any questions!

#jobs #rstats #Python",cct_datascience,0,1,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0
34,2023-04-04 17:24:38+00:00,1643300000000000000,https://twitter.com/PrigithJ/status/1643303577111367681,"Your opinion?
Writing coding with clean syntax is very important to clear bugs and making sure that other people do understand the algorithm. I use the chaining method while working with pandas and other stuff in python...
#Python 
#DataScience 
#Datavisualization https://t.co/9WnbaFjbPO",PrigithJ,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1
35,2023-04-04 17:23:04+00:00,1643300000000000000,https://twitter.com/ML_Jobs_Feed/status/1643303180866838568,"SynergisticIT is looking for an Entry Level Data Scientist-Remote
https://t.co/pTh88oHUjM Austin, TX, United States
( Python  Azure  Tensorflow ) 
#jobs #Python",ML_Jobs_Feed,0,0,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">SeriousGamesJobs</a>",0
36,2023-04-04 17:23:03+00:00,1643300000000000000,https://twitter.com/ML_Jobs_Feed/status/1643303179105230849,"HelioHire is looking for a Data Science Analyst
https://t.co/fyGHU59fYp Multiple locations, United States
( Python  AWS  ML  AI ) 
#programming #Python",ML_Jobs_Feed,0,0,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">SeriousGamesJobs</a>",0
37,2023-04-04 17:23:02+00:00,1643300000000000000,https://twitter.com/ML_Jobs_Feed/status/1643303175368196097,"The Judge Group Inc. is looking for a Big Data Developer - IV
https://t.co/pdMHcfGVNi Grand Prairie, TX, United States
( Python  Cloud  GCP  ML  AI ) 
#careers #Python",ML_Jobs_Feed,0,0,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">SeriousGamesJobs</a>",0
38,2023-04-04 17:23:00+00:00,1643300000000000000,https://twitter.com/ML_Jobs_Feed/status/1643303167377956882,"SynergisticIT is looking for a Machine Learning Developer
https://t.co/s1tJN8aIBV Mountain Brook, AL, United States
( Python  AI ) 
#jobs #Python",ML_Jobs_Feed,0,0,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">SeriousGamesJobs</a>",0
39,2023-04-04 17:22:45+00:00,1643300000000000000,https://twitter.com/V1ktor/status/1643303103238660114,"⚡️New: How To Create An API with Django REST Framework Quickly

Learn how to integrate Django Rest Framework API into your #Django project with this beginner-friendly tutorial, including two example #API endpoints.

https://t.co/PqivRcDInE

#drf #saas #python #opensource #startup https://t.co/4ix3DE0oxu",V1ktor,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1
40,2023-04-04 17:22:37+00:00,1643300000000000000,https://twitter.com/HRB_Vulture/status/1643303067612499968,"@venkyakshaya Sometimes I even forget that I have used """" and scratch my head why I get SQL error..

Also the current language I use is #Python so it will not throw any error even if I use """" or '' hence this become habit!!! 😀😀😀",HRB_Vulture,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
41,2023-04-04 17:22:35+00:00,1643300000000000000,https://twitter.com/8_yuce/status/1643303060842635298,"$SPY is developing w/in the predicted price channel.

see our #AI generated forecasts live at https://t.co/u4dbEY7C80. 

#python developers can backtest our #BTC forecasts w/in #kaggle @ https://t.co/atB4mJ7BZF

#SPY #SPX $SPX #SP500 $BTC https://t.co/0qoyJJaYeX",8_yuce,1,0,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",0
42,2023-04-04 17:22:32+00:00,1643300000000000000,https://twitter.com/jeanmrtns_/status/1643303049748701186,"#100DaysOfCode of #Python. Day 21
Today we finish building our snake game. This time we learned how to calculate collisions, insert text on the screen and how to use list slicing.

21/100 ✅ https://t.co/H0hOH542vW",jeanmrtns_,1,3,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3
43,2023-04-04 17:21:07+00:00,1643300000000000000,https://twitter.com/first_issues/status/1643302691572187136,"Integrate speech-to-text detection with person, object detection in videos  https://t.co/wAkKs3pGvr #github #Python",first_issues,0,0,"<a href=""https://github.com/arshadkazmi42/first-issues"" rel=""nofollow"">oss-first-issues</a>",0
44,2023-04-04 17:20:58+00:00,1643300000000000000,https://twitter.com/VeilleCyber3/status/1643302654628577280,"Universities express doubt over #tool to detect #AI-powered #plagiarism
https://t.co/d7X86UFIOH

#cryptocurrencies #MachineLearning #AI #Python #DeepLearning #100DaysOfCode #fintech #nocode #bitcoin  #cybersecurity #cybersecurite #inSurTech #ChatGPT https://t.co/4AEELTlVoA",VeilleCyber3,0,0,"<a href=""https://www.semrush.com/"" rel=""nofollow"">Semrush Social Media Tool</a>",0
45,2023-04-04 17:20:12+00:00,1643300000000000000,https://twitter.com/eLearnCoupons/status/1643302459291361280,"100% Off Coupon - 2023 Complete Python Bootcamp From Zero to Hero in Python
#Pythom3 #python
https://t.co/7lW3Iu94WG",eLearnCoupons,0,0,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",0
46,2023-04-04 17:20:08+00:00,1643300000000000000,https://twitter.com/first_issues/status/1643302442824798208,Delete profile should provide option to delete volume https://t.co/pZQlyXJI9A #github #Java #Shell #Dockerfile #FreeMarker #HTML #Python,first_issues,0,0,"<a href=""https://github.com/arshadkazmi42/first-issues"" rel=""nofollow"">oss-first-issues</a>",0
47,2023-04-04 17:20:01+00:00,1643300000000000000,https://twitter.com/echojobs_io/status/1643302417151189023,"👋 Motional is hiring Senior Motion Planning Engineer  

💰 USD 136k-225k 
🛖 #remote #wfh 
💪 #python 

#tech #softwareengineer #jobs 
https://t.co/gykaEKuwmB",echojobs_io,0,0,"<a href=""https://echojobs.io/"" rel=""nofollow"">echojobs</a>",0
48,2023-04-04 17:19:22+00:00,1643300000000000000,https://twitter.com/jblefevre60/status/1643302250964475920,"[#AWSSummitParis] Les Demos days ont battu leur plein toute la journée!

#AI #MachineLearning #Cloud #Python #Coding #100DaysOfCode #tech

@CurieuxExplorer @PawlowskiMario @mvollmer1 @gvalan @ipfconline1 @LaurentAlaus @Shi4Tech @Fisher85M @kalydeoo @Ym78200 @Nicochan33 @chboursin https://t.co/GmBDgHFQZO",jblefevre60,1,10,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",12
49,2023-04-04 17:18:42+00:00,1643300000000000000,https://twitter.com/UtomiOnyeka/status/1643302084215726090,"Teaching Python programming makes me learn more.

Indeed teachers are learners as well.

#Python #pythonprogramming",UtomiOnyeka,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0
50,2023-04-04 17:16:05+00:00,1643300000000000000,https://twitter.com/ponderdata/status/1643301424976265216,"Ponder lets you seamlessly manipulate AND visualize the data in your warehouse, all from your notebook or preferred IDE. No more jumping back and forth between tools as you write SQL and visualize the outcome! #python #datascience",ponderdata,0,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",3
51,2023-04-04 17:15:52+00:00,1643300000000000000,https://twitter.com/eswarijk/status/1643301370458431489,"That's a wrap!

If you enjoyed this thread:

1. Follow me @eswarijk to know more interesting facts about #python. 
2. Like/RT the tweet below to share this thread.",eswarijk,0,0,"<a href=""https://hypefury.com"" rel=""nofollow"">Hypefury</a>",0
